"","genes","QEp","pval","qval"
"4281","ALDH2",0.000849748269512151,0.374499473102931,0.774076197227333
"4282","PSME3",2.41536944150081e-12,0.770346591769404,0.945881370467849
"4283","COL11A1",2.25101864110122e-11,0.192465046901549,0.615279717145744
"4284","SSTR2",0.083090957267911,0.0577302100289912,0.400448828479045
"4285","ZNF84",0.000196740214530319,0.951345213751644,0.991694936721473
"4286","CRABP1",0.199551899677224,0.54069950984536,0.865126402219299
"4287","CD63",0.00545191828386539,0.371268718475601,0.771781781457655
"4288","FGD1",0.0026394460951152,0.204572689421018,0.634410165784494
"4289","IFI6",0.000856170100653313,0.525175310941325,0.857530768148652
"4290","MNX1",0.013785056355496,0.652133700081777,0.897303024701527
"4291","POLR2E",0.00656571036104569,0.816581136369555,0.960828944816725
"4292","MMP13",0.424312075430417,0.007607576037641,0.142008086035965
"4293","ENPP1",0.00167733607310551,0.351049431426102,0.754690537972219
"4294","GNB2",0.000420524184173356,0.063608636272026,0.424550665350499
"4295","GYS2",0.00786272439571879,0.997433295723042,0.999570357350501
"4296","EXTL2",6.57477522074262e-06,0.578943331213396,0.875949844129132
"4297","ST13",0.000291459964477259,0.703607332199715,0.918349272717596
"4298","HMGN3",0.00326851582307885,0.237720977419032,0.661584683823149
"4299","HDAC2",0.389825548993489,0.000504749600557966,0.0238949501624967
"4300","F8",3.05502979454291e-09,0.986669650073338,0.99872306338005
"4301","FUBP3",0.0492526831045971,0.245668056882416,0.669500128904483
"4302","UROS",0.0283254852907096,0.429105296585929,0.810266984215346
"4303","FOXC2",0.0178729502302398,0.803741959982244,0.956851615776358
"4304","SLC7A6",0.00258342262096196,0.770794444314175,0.945881370467849
"4305","ERCC3",4.89341023697323e-05,0.486942986977327,0.835972375393214
"4306","SCP2",0.00247706372992914,0.144838838798118,0.567851563033105
"4307","MAP2K2",2.6841870972072e-06,0.733005943935021,0.930624786430489
"4308","ARFIP1",0.217772055151338,0.840329258749865,0.967110121517665
"4309","PLOD2",0.00964421313483727,0.384710583231571,0.785387394293671
"4310","CEBPA",0.00871213548158283,0.937719628348879,0.990667083078381
"4311","MTM1",6.54921041932031e-05,0.858242341003511,0.970278650271907
"4312","DAZAP2",0.0344348078067992,0.0135496466866218,0.198152794856584
"4313","CHAF1B",0.610785451406688,0.155691276185631,0.579294664618938
"4314","DYRK2",5.27261492155905e-15,0.670907007217455,0.903811156102086
"4315","PLCL1",0.0103943231989097,0.94208471924114,0.990667083078381
"4316","SLC1A6",0.717352846910312,0.174374832661015,0.598509374490348
"4317","ARL3",0.00173585529147047,0.589624515827664,0.87925874833632
"4318","HOXA5",0.0210119221415937,0.363350434152326,0.764667824760532
"4319","ALOX15",0.922592413991968,0.800440766529616,0.956785190914045
"4320","HTR3A",0.000243066086588642,0.831695556475307,0.966969684819563
"4321","CYP2J2",0.697898853259199,0.373974538550719,0.773903146022939
"4322","CYFIP1",1.29600854478721e-05,0.470988406700937,0.830313851944474
"4323","PKP4",1.43492073594377e-05,0.928500310134776,0.988613958175174
"4324","CFB",0.366253823028131,0.000281631851646614,0.0155624027224106
"4325","GOLIM4",5.35203187395115e-05,0.221533321897935,0.651400369937277
