"genes","TE.random","pval.random","tau2","I2","pval.Q","num_exp","qval.random","qval.Q"
"EFHD1",0.0355346415491662,0.486380193959825,0.00875259769162198,0.395091645716506,0.0943339441634977,10,0.833016696383044,0.132448502725367
"RBX1",-0.00572898254050039,0.942790237377673,0.0473058490565748,0.890337168469902,1.26750580829737e-12,9,0.986342746000267,2.00138171706745e-11
"PCDHB2",0.0868714728589723,0.367448303645893,0.0553891332899574,0.73044328020671,0.000510224876400224,8,0.774285462343814,0.00131378821695925
"PML",0.0546930959697629,0.607140749002091,0.109238945924223,0.848475716677902,2.61269094069006e-10,11,0.879750704786216,2.56349712590602e-09
"C20orf29",0.0325593453225513,0.569720465792841,0.00768717337292436,0.560667070672822,0.0585347987967894,5,0.865594816006541,0.0877621855934712
"NDUFB1",0.0272026205404026,0.213213470316721,4.30133512560145e-07,0,0.506670248975279,9,0.665970778659883,0.556794948623391
"SPINT4",0.01830895226852,0.537849746238822,0,0,0.917400712119728,4,0.852817570989862,0.928886243024545
"ZNF252",-0.142876514885901,0.190599005475551,0.037062539764817,0.83123723134149,0.000489101796908431,4,0.647996851130769,0.00126303746698167
"LRRC8E",0.0386427421520527,0.330267222115643,0.00540271954221696,0.455930574117996,0.0563901986130748,10,0.752540760048241,0.0849850910074118
"DOT1L",-0.0325554736725353,0.408270387819518,0.00613879391458142,0.4323883362146,0.0699521971667018,10,0.796477484509757,0.102460943482335
"FGD5",-0.25469262518241,0.0871051187120452,0.146134340345892,0.883609633521224,1.41386276522342e-10,8,0.503673066310911,1.46845746605878e-09
"EFCAB1",-0.171619418039434,0.0779550617455208,0.041787210966454,0.635258397272248,0.00335252630241208,10,0.485575336179474,0.00710464664895004
"RAGE",-0.00769581671237889,0.929187702795891,0,0,0.538259703572263,3,0.983846808211482,0.586540439369856
"ANKRD22",0.220828950261196,0.153510127135893,0.127743790091063,0.689675315196366,0.0020351674564109,8,0.606640617658547,0.00455327199748014
"ZNF665",-0.0403895524741511,0.14626588318703,0.00119309790272355,0.306951991565281,0.163235625438468,10,0.599698991613628,0.211980512134879
"PTRH1",0.0701533202103103,0.5462827987139,0.0705660557864602,0.785241028748337,9.65103453124642e-05,7,0.85532872580343,0.000290699762965521
"WNT8A",0.0108389517409297,0.669309817630494,0,0,0.63348968154583,8,0.903339824848426,0.675949917116344
"HOXC8",0.108918342229749,0.133076666583099,0.0320737080645655,0.756866116882734,6.40984302838689e-05,9,0.583771042663714,0.000201079551093343
"WFDC3",0.0334299304214529,0.529863039407253,0.0123783710214079,0.636889152288741,0.00485722446959441,9,0.849770924875599,0.00985859876487743
"LRIG2",0.0305429547724313,0.18666580161936,0.000968738257356579,0.374983874035142,0.108802897465152,10,0.644419850468225,0.149833761823158
"EIF2S2",0.0273002338600096,0.833662397835632,0.167476550485727,0.909425879909627,4.41721371820598e-19,11,0.955257602115512,2.26292785017224e-17
"CCDC112",0.00946337078228848,0.865310604687457,0.014268472408892,0.66817411744507,0.00363148866131189,8,0.963367388697857,0.00762814965448998
"KRT74",-0.0233439253917931,0.647435286427072,0.0081664260907763,0.529113444706075,0.0377616477101355,8,0.896554620652354,0.0599889376374536
"SRF",0.0999714111856929,0.280654638141378,0.0821694438602968,0.829725084679535,6.30146489433697e-09,11,0.721047221215741,4.77498252216294e-08
"PROKR2",-0.00372721372589522,0.876089721864553,0,0,0.509328105339686,7,0.967870986923967,0.559359060381929
"EPHX4",-0.0129144666941045,0.669029875847481,0,0,0.808710286773241,8,0.903339824848426,0.833372617305684
"GPHA2",0.00466239683617588,0.882224768328609,5.40990402462741e-06,0.0822340507159996,0.366609573992895,8,0.97003313063229,0.421882533231259
"ACTL7B",0.0444349449301189,0.244160166398444,0.00292149981462388,0.0901361280567149,0.360398776613223,8,0.691333450850283,0.415965426872715
"FBXO8",-0.0856645308023251,0.289544667203344,0.046924488977977,0.746213471726698,0.000113378203370002,9,0.726421009343667,0.000336922762989043
"KCNMB1",0.0255216987247262,0.468860396902759,0.00330462982653946,0.236177107118654,0.218571193525603,11,0.823552447153381,0.272080651439079
"OSBPL2",-0.00275847596742826,0.949861590913517,0.0139108564252489,0.873306911547684,9.52718431448645e-12,10,0.988074556375966,1.25676531413677e-10
"GJC2",-0.141962450463753,0.364534135686777,0.160660673999701,0.852029152177769,4.86369290851687e-08,8,0.771419062845611,3.02751080505125e-07
"SCRN3",0.00490429835911898,0.931933504732407,0.0231708535289004,0.76125446596061,1.97532756540036e-05,10,0.984403470455706,6.94791344419968e-05
"HIVEP2",0.103535271074045,0.19309099027298,0.0536823249098739,0.865975262588411,5.65834316798197e-12,11,0.649342333022189,7.84591066746557e-11
"PARM1",0.0967463419942945,0.284583311365709,0.0455364672839487,0.746146659385192,0.000113765623123621,9,0.72393779768542,0.000337865976009799
"ACOT12",0.0266737308261524,0.542027039230621,0.00656441372115722,0.60667582209936,0.0129201330510477,8,0.853857767321309,0.0233944627214592
"ASB6",0.0333647046152628,0.588464781145748,0.0282494610482073,0.792643373087455,1.81740713475286e-06,10,0.873912627829563,7.9957297483921e-06
"SUPT3H",-0.0296988051009144,0.424527289030285,0.00695641822590886,0.59245202391078,0.00861872362589092,10,0.804857477487319,0.0163851504941983
"NBR2",-0.030311895245896,0.423688146895484,0.00677189155374922,0.524103211715629,0.0259545639174092,10,0.804459626803476,0.0431283958075352
"ICOSLG",0.0109672110089849,0.874663888344257,0.0259229560528991,0.653812771561359,0.00322723049236855,9,0.967377120287658,0.00687050119909786
"LIN28A",-0.0167118451170893,0.506154872421676,0.000882308475426661,0,0.454134439439293,8,0.83942800432484,0.507146568866088
